Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
0,33.12,60.58,277657,488550,734577,1091103,1685250,2660604,4438906,7690214,15667224,24554514
1,33.35,58.45,356174,587830,866695,1285221,1975404,3180124,5234505,9137758,18554926,29237564
2,33.42,57.34,399844,636025,936871,1385656,2144502,3453626,5651604,9872853,20602326,32141246
3,33.48,56.75,419500,661926,982019,1447350,2230330,3623176,5870298,10262449,21347232,33343170
4,33.51,56.39,432524,679045,1002938,1483520,2299832,3691753,6090706,10549903,22103204,34748676
5,33.51,56.16,440335,690725,1024000,1536384,2339235,3794349,6240335,10886379,22466918,35196564
6,33.53,55.98,444637,699932,1049180,1540718,2371743,3820896,6352850,10951872,22771370,35861012
7,33.55,55.87,448729,707916,1045965,1565450,2384168,3869627,6416292,11119104,23084184,36038492
8,33.56,55.78,449912,711605,1054854,1568147,2409412,3886148,6454205,11130435,23405714,36642996
9,33.59,55.69,453198,715334,1057305,1577204,2413671,3919617,6488713,11268226,24014658,36766340
10,33.60,55.63,455922,719859,1067222,1590062,2433026,3947952,6527490,11279862,24067572,37236364
11,33.61,55.57,459915,722144,1069731,1596570,2441729,3976699,6578598,11326651,24322138,37109852
12,33.62,55.50,461469,722909,1067222,1595637,2443914,3985405,6582564,11361997,24362826,37395720
13,33.64,55.50,458371,726757,1088493,1601251,2450494,3976699,6566734,11385685,24214298,37588760
14,33.65,55.46,459605,723675,1089362,1619292,2461538,4008808,6598470,11409471,24335686,37427756
15,33.66,55.42,462720,725984,1071410,1612598,2465984,4035468,6614453,11445337,24471994,37588760
16,33.66,55.38,461469,729865,1078178,1605960,2461538,4038452,6634542,11505618,24458294,37914956
17,33.67,55.34,463978,731429,1077328,1618333,2474924,3991230,6646653,11578799,24609838,38013920
18,33.68,55.34,465243,732213,1089362,1624108,2474924,4041440,6695546,11591086,24932852,38180016
19,33.68,55.32,464610,732999,1085896,1631872,2486191,4035468,6679168,11554302,24651496,38013920
20,33.69,55.27,463348,734577,1085033,1635783,2486191,4059465,6695546,11603399,24861912,38213412
21,33.70,55.24,465878,731429,1083311,1634803,2486191,4050433,6712004,11652916,24847772,38415004
22,33.70,55.24,464610,732213,1091103,1633825,2493000,4074608,6753504,11677833,25235272,38652904
23,33.71,55.23,469402,736161,1087626,1639712,2504433,4074608,6720262,11702857,25148120,38482676
24,33.70,55.22,467153,736161,1087626,1641683,2509035,4092930,6753504,11690332,25061568,38893768
25,33.71,55.20,468114,736956,1096360,1642671,2506732,4083749,6761866,11690332,25032850,38721420
26,33.73,55.20,469725,738550,1091103,1642671,2511343,4062484,6770248,11640497,25047200,38687132
27,33.73,55.18,469725,739350,1097241,1645641,2502138,4099074,6774447,11740595,24975610,38516604
28,33.72,55.14,469725,740152,1092850,1650614,2509035,4111418,6803986,11778577,25249856,38963140
29,33.73,55.18,469079,740955,1096360,1653613,2522944,4111418,6803986,11753228,25308360,38824644
30,33.73,55.12,470372,740955,1117904,1642671,2506732,4114515,6774447,11791292,25162604,38928424
31,33.73,55.11,469725,742567,1099007,1653613,2529957,4111418,6816726,11855282,25177104,38928424
32,33.75,55.10,471346,740152,1103448,1646633,2518291,4092930,6770248,11791292,25047200,38859176
33,33.76,55.06,468757,740955,1089362,1654615,2529957,4111418,6812474,11778577,25323030,38824644
34,33.75,55.04,470372,740955,1103448,1655618,2515970,4096000,6787076,11804035,25177104,38618740
35,33.74,55.05,471346,743376,1097241,1651613,2522944,4120724,6795520,11829603,25426188,39207896
36,33.76,55.02,471998,742567,1104341,1655618,2527615,4142604,6812474,11868164,25381874,38963140
