Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
0,32.79,57.73,364932,607715,899824,1303628,1981137,3132696,5126408,8728823,18034122,27804836
1,32.97,55.32,454707,712348,1034866,1526080,2301770,3657143,6056932,10409149,21284832,33599588
2,33.03,54.36,491009,756697,1109726,1637745,2472683,3913999,6535301,11175989,22962860,36247788
3,33.07,53.93,511233,787692,1158699,1693612,2563204,4092930,6766054,11603399,24735234,37914956
4,33.10,53.68,525802,802980,1182790,1745578,2614746,4239068,6933559,11946044,25381874,38893768
5,33.13,53.52,532363,814476,1187935,1765898,2673629,4255584,7049914,12181413,25381874,39670704
6,33.15,53.34,536969,831338,1208973,1787866,2686782,4336686,7137443,12381636,26298556,40107712
7,33.15,53.24,543813,837457,1221957,1790210,2724310,4336686,7222394,12502098,26063234,40781580
8,33.17,53.16,548620,845233,1230769,1806793,2748993,4413793,7285016,12595810,26914168,41204652
9,33.18,53.10,548180,847858,1237462,1821254,2765699,4435300,7324095,12632228,27064216,41517896
10,33.16,53.09,550390,853689,1243096,1832252,2785447,4497392,7428701,12916043,27386544,42240412
11,33.16,53.07,553963,856366,1255671,1847125,2802600,4557441,7474452,13141368,27716642,42322248
12,33.16,53.03,558952,854758,1255671,1843384,2805480,4523468,7459140,13000595,27420920,42322248
13,33.17,53.01,559869,856904,1257985,1857175,2825802,4523468,7500114,13054980,27716642,42528228
14,33.17,52.96,558952,866145,1259145,1853394,2811256,4515987,7494968,13023847,27386544,42528228
15,33.17,52.93,558495,866145,1257985,1860972,2828729,4523468,7479571,13047183,27541920,42736224
16,33.17,52.95,560789,865048,1268504,1868613,2834602,4580374,7536338,13101959,27663994,42819992
17,33.18,52.93,563566,861772,1261472,1880193,2837548,4557441,7546752,13133467,27875798,42946264
18,33.18,52.90,562637,869454,1275615,1858439,2849391,4530974,7578168,13125576,27982920,43030860
19,33.18,52.91,563101,864500,1267327,1884085,2840499,4565060,7546752,13149278,27929256,43243812
20,33.18,52.92,564966,870563,1267327,1887993,2840499,4565060,7567668,13173065,27911414,43286656
21,33.18,52.90,564498,865596,1266152,1880193,2846421,4557441,7541542,13173065,27929256,42946264
22,33.18,52.88,564498,871675,1278003,1877607,2861334,4591928,7567668,13181014,27646488,43201056
23,33.17,52.88,562637,872789,1272050,1876317,2858339,4588070,7557196,13204916,28236106,43115788
24,33.16,52.85,566842,868348,1274424,1887993,2870358,4591928,7657864,13220900,27929256,43201056
25,33.17,52.83,567785,876712,1276808,1886688,2879438,4599663,7609846,13277147,28236106,43588960
26,33.16,52.85,568731,871119,1276808,1875029,2876404,4615212,7657864,13261028,28000854,43939660
27,33.15,52.89,569205,872789,1280400,1884085,2876404,4615212,7647141,13261028,28236106,43632492
28,33.14,52.86,568258,872232,1279200,1891917,2876404,4654546,7674004,13415763,28327642,43545516
29,33.14,52.86,567313,880103,1285221,1895858,2870358,4638732,7674004,13342020,28217868,43983892
30,33.12,52.87,571110,876712,1285221,1910448,2900850,4642675,7663236,13440525,28699802,44028216
31,33.12,52.89,571588,881808,1285221,1898494,2891634,4686499,7674004,13374694,28163300,43983892
32,33.12,52.90,569680,877276,1276808,1902462,2897772,4642675,7684803,13309504,28346020,44072628
33,33.11,52.90,571588,883520,1287645,1902462,2882477,4654546,7706491,13374694,28163300,43807488
34,33.11,52.89,572067,877840,1288861,1894542,2900850,4654546,7739254,13424007,28456796,44567156
35,33.10,52.88,573027,877276,1291299,1906446,2903935,4646625,7706491,13457084,28568440,44072628
36,33.10,52.88,573027,878970,1282806,1902462,2900850,4650582,7739254,13374694,28327642,44206408
37,33.09,52.88,570632,886388,1284012,1895858,2907026,4682480,7761250,13440525,28181466,44117132
38,33.09,52.89,573027,884092,1296202,1909112,2916340,4714820,7783373,13432261,29101244,44341000
39,33.09,52.88,576901,892764,1293746,1905116,2903935,4670468,7761250,13565721,28364424,44028216
40,33.09,52.85,572067,887541,1304874,1910448,2919458,4646625,7772296,13557302,28699802,44612660
41,33.08,52.88,575443,885239,1292521,1919850,2938307,4710754,7794482,13473684,28456796,44658264
42,33.08,52.88,574958,882949,1299905,1910448,2919458,4702640,7783373,13565721,28737558,44887672
43,33.09,52.84,578368,893933,1297434,1911785,2941472,4710754,7827998,13548894,28756472,44341000
44,33.07,52.84,573991,885813,1303628,1923908,2925714,4727063,7805622,13641965,28813366,45026452
45,33.08,52.84,578368,887541,1299905,1918501,2941472,4722975,7856150,13727692,29218012,45259668
46,33.09,52.84,578368,889275,1306122,1930709,2944644,4718894,7856150,13641965,28851420,45212832
47,33.09,52.82,578858,889275,1313663,1923908,2957401,4739370,7884504,13659025,28756472,45212832
48,33.07,52.80,580334,890435,1311140,1926623,2938307,4776676,7936062,13849535,29237564,45637884
49,33.06,52.84,581323,892180,1309882,1932076,2960607,4764176,7884504,13548894,29023914,45447988
50,33.07,52.83,580334,894518,1306122,1925264,2951009,4764176,7907336,13633451,29081872,45306604
