Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
167,34.62,51.73,170100,268696,387146,526208,719101,1014866,1510882,2363532,4438906,6412524
168,34.63,51.70,167266,268485,389798,525398,716836,1017893,1507545,2357410,4424520,6423838
169,34.64,51.65,169424,271043,388467,526614,719101,1014112,1514233,2384168,4435300,6454205
170,34.63,51.65,170781,270613,391362,528244,719859,1024769,1520980,2384168,4471616,6473330
171,34.62,51.69,169256,269545,392713,529062,722144,1023233,1522677,2394622,4486309,6481012
172,34.64,51.82,169424,271690,392939,530295,726757,1018652,1523526,2375870,4453384,6446586
173,34.63,51.86,166938,269545,390021,524590,722144,1020937,1514233,2371743,4413793,6431404
174,34.63,51.83,169761,269758,392037,529473,725984,1024769,1522677,2386251,4482626,6500298
175,34.62,51.82,170952,270613,393619,531120,729085,1032518,1539850,2413671,4519724,6570684
176,34.62,51.79,170269,274090,394757,531120,730646,1030959,1542459,2413671,4527218,6523592
177,34.63,51.76,169256,272994,396132,532363,728307,1030181,1534657,2411540,4519724,6519698
178,34.64,51.77,170781,272340,394301,529884,729085,1028629,1525228,2396723,4504812,6484860
179,34.65,51.72,169761,271907,395902,534866,729865,1031738,1531215,2415806,4501099,6543131
180,34.65,51.67,169088,273212,394986,534866,726757,1034082,1543331,2417946,4561247,6582564
181,34.63,51.65,170781,274752,398444,536547,732999,1038803,1553870,2450494,4599663,6638574
182,34.65,51.63,169761,273650,396822,531948,733787,1038013,1549461,2424386,4561247,6594486
183,34.66,51.62,172681,273650,394529,540797,736161,1040386,1553870,2435196,4576536,6606452
184,34.67,51.63,169761,273212,397516,534447,736956,1049180,1546828,2441729,4588070,6558847
185,34.66,51.62,173383,273870,398676,535285,737752,1049987,1558303,2443914,4595792,6654752
186,34.66,51.62,173383,274310,397979,539515,737752,1046767,1555640,2435196,4576536,6626492
187,34.67,51.61,173207,275195,398909,536126,739350,1043567,1550341,2435196,4584220,6594486
188,34.67,51.62,173207,277657,399376,540369,739350,1050795,1560976,2457108,4580374,6622474
189,34.67,51.61,171812,274752,401254,538664,740152,1045165,1550341,2457108,4623025,6598470
190,34.68,51.63,173031,275862,402674,540369,740955,1045965,1560084,2461538,4591928,6650700
191,34.67,51.63,172507,278110,401490,542517,741760,1045965,1561868,2461538,4584220,6590507
192,34.68,51.62,173736,276533,399844,541656,742567,1052415,1573569,2468213,4607424,6683255
193,34.70,51.60,171639,275639,401490,541656,743376,1053227,1559193,2448296,4623025,6695546
194,34.70,51.58,173207,276981,400313,543380,748264,1054040,1579942,2459322,4626942,6675086
195,34.71,51.59,174268,279019,401726,541656,737752,1049180,1569048,2446103,4588070,6630514
196,34.71,51.57,173383,279019,401726,539942,740955,1053227,1560976,2474924,4630865,6699652
197,34.70,51.53,172681,280394,403865,547301,744186,1058124,1577204,2481672,4682480,6761866
198,34.71,51.55,172507,277432,403150,546425,745812,1065557,1570853,2474924,4626942,6712004
199,34.71,51.53,171985,279705,403626,545551,747445,1059767,1576294,2488457,4642675,6745162
200,34.70,51.52,174446,279934,403388,546425,742567,1058124,1573569,2493000,4686499,6770248
201,34.70,51.52,175704,279705,402912,545988,749086,1058124,1582689,2497561,4690524,6753504
202,34.70,51.54,173736,278564,405545,548180,741760,1062241,1590062,2504433,4674465,6770248
203,34.66,51.59,175704,280394,407481,547301,752112,1068894,1596570,2511343,4722975,6820982
204,34.65,51.64,175704,283186,405545,552170,754189,1074784,1600312,2527615,4772502,6855230
205,34.66,51.66,173913,284129,409682,552617,755859,1072251,1603131,2495279,4727063,6838064
206,34.66,51.66,174804,280164,407481,554863,750458,1068894,1596570,2511343,4755878,6863846
207,34.63,51.66,176066,279934,407968,553514,757116,1074784,1605016,2518291,4755878,6889824
208,34.66,51.73,175523,284603,406995,553963,759222,1077328,1605960,2532303,4789243,6876810
209,34.66,51.73,176796,281319,410421,554863,758800,1081595,1599375,2525278,4727063,6868162
210,34.68,51.70,175885,283421,408456,553514,751698,1083311,1599375,2511343,4727063,6850930
211,34.67,51.71,175162,283186,408456,553963,758800,1072251,1605016,2506732,4801876,6868162
212,34.67,51.69,174804,281551,408701,554863,756278,1079884,1618333,2546472,4810334,6889824
213,34.68,51.69,176796,282951,409436,560328,759644,1079030,1614505,2553616,4768336,6924768
214,34.67,51.65,175885,282483,412654,557127,763040,1081595,1608798,2534654,4810334,6960068
215,34.68,51.63,176796,286034,412155,558495,762614,1084172,1617374,2537008,4797658,6924768
216,34.70,51.64,176979,285555,416684,556673,760490,1080739,1619292,2553616,4776676,6915998
217,34.70,51.62,175885,285316,412404,556673,760490,1082452,1618333,2525278,4780858,6907252
218,34.70,51.61,177716,282951,413905,556673,760914,1091103,1619292,2565612,4801876,6968950
219,34.71,51.58,179209,285078,410915,558038,759222,1091103,1619292,2537008,4806102,6955636
220,34.71,51.56,178087,283421,411162,560789,768192,1083311,1621215,2565612,4793446,6968950
221,34.72,51.57,177901,284129,414911,559410,764322,1089362,1620253,2553616,4818824,6933559
222,34.72,51.55,179021,284840,413403,558952,768192,1091103,1623142,2553616,4789243,6924768
223,34.73,51.54,177901,284840,412903,559869,769491,1091976,1629924,2565612,4806102,6982314
224,34.72,51.55,176613,286996,414407,564032,769925,1095480,1625074,2575291,4848772,7000214
225,34.72,51.54,179209,284365,414659,560789,770359,1101668,1633825,2575291,4831613,7000214
226,34.72,51.54,177163,286996,414407,561711,768192,1101668,1631872,2587492,4840178,7036290
227,34.73,51.55,179775,285078,416176,559869,767329,1098123,1639712,2577722,4848772,7004703
228,34.73,51.55,176796,287964,416684,562637,767760,1095480,1633825,2587492,4848772,7013698
229,34.72,51.54,180536,288939,418728,563566,770794,1104341,1642671,2599810,4927519,7091106
230,34.72,51.55,180345,286996,417703,564498,774730,1101668,1641683,2597337,4900987,7123478
231,34.73,51.51,181303,290414,416684,565902,777820,1107925,1645641,2602287,4866053,7049914
232,34.74,51.53,177347,288939,417959,566842,772539,1101668,1648622,2599810,4896593,7068162
233,34.73,51.51,178087,290414,417703,569205,773414,1104341,1655618,2594868,4936426,7146783
