Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
338,33.33,100.00,349250,512769,685867,909414,1281602,1867335,2891634,4806102,9356939,14191425
339,33.33,100.00,338848,497812,665800,886388,1232992,1806793,2793997,4599663,8987383,13440525
340,33.33,100.00,336179,494925,656831,874466,1226347,1793738,2771312,4549848,8921318,13507007
341,33.33,100.00,333550,494208,655570,880671,1224148,1791384,2771312,4568879,8863403,13309504
342,33.33,100.00,335848,494925,660006,876712,1231880,1804405,2774128,4584220,8979995,13440525
343,33.33,100.00,338848,498904,665800,883520,1244228,1821254,2811256,4658516,9130120,13633451
344,33.33,100.00,341561,502207,669062,896869,1263808,1860972,2870358,4731158,9277463,13875926
345,33.33,100.00,344317,508189,679721,911843,1287645,1890607,2925714,4818824,9495219,14340481
346,33.33,100.00,345013,515091,689330,933030,1312400,1919850,2970268,4923077,9671783,14435242
347,33.33,100.00,351046,518219,697785,934946,1311140,1930709,2996342,4945366,9706161,14648190
348,33.33,100.00,353225,529473,716084,968780,1364878,2008828,3161714,5150582,10101110,15251571
349,33.33,100.00,358042,538664,726757,978500,1380054,2038825,3232834,5259711,10349968,15555661
350,33.33,100.00,361837,543813,730646,992729,1399863,2063476,3277456,5373565,10529563,15964921
351,33.33,100.00,365714,550834,743376,1017134,1436689,2122830,3368421,5525801,10908123,16545317
352,33.33,100.00,380669,567313,760067,1041179,1483520,2199785,3480034,5686914,11279862,16995850
353,33.33,100.00,384962,564498,760490,1041974,1477101,2194482,3482253,5698782,11256613,17009084
354,33.33,100.00,386269,568258,769491,1054040,1513394,2198014,3554784,5795543,11421401,17319238
355,33.33,100.00,388467,575443,777820,1079030,1540718,2248696,3625581,5914802,11727989,17828074
356,33.33,100.00,397516,592936,800156,1102557,1591916,2337232,3750057,6243902,12284161,18460846
357,33.33,100.00,400313,598655,805348,1116989,1593774,2343250,3747484,6229658,12297992,18523460
358,33.33,100.00,403626,592936,805823,1102557,1590062,2343250,3747484,6243902,12430956,18539180
359,33.33,100.00,402674,598131,816913,1127133,1623142,2390429,3839700,6423838,12742757,19023512
360,33.33,100.00,408946,610432,833876,1151856,1670814,2457108,3976699,6610450,13141368,19710076
361,33.33,100.00,413654,620418,840550,1165623,1687333,2483930,4023576,6671010,13252983,19835352
362,33.33,100.00,416429,619855,845233,1163636,1671837,2465984,4017656,6638574,13165127,19817358
363,33.33,100.00,413403,612074,831338,1164629,1676970,2481672,3968031,6622474,13196939,19781466
364,33.33,100.00,414659,616496,840033,1167617,1688376,2488457,4017656,6671010,13277147,19980488
365,33.33,100.00,416938,617612,840550,1157716,1671837,2468213,3973806,6606452,13149278,19692308
366,33.33,100.00,416684,618171,842625,1160669,1680066,2477170,3973806,6630514,13149278,19835352
367,33.33,100.00,419243,623820,855293,1187935,1707378,2532303,4068537,6782860,13473684,20390790
368,33.33,100.00,422878,626108,865596,1187935,1733390,2558401,4133199,6889824,13676127,20739240
369,33.33,100.00,426311,643216,882949,1217598,1778550,2652850,4252271,7170240,14063519,21431000
370,33.33,100.00,435004,650572,892764,1256827,1837183,2735226,4420939,7373538,14817092,22443836
371,33.33,100.00,442046,659369,919210,1272050,1844630,2760108,4467958,7479571,15124856,22583046
372,33.33,100.00,442333,663212,910627,1268504,1855913,2776949,4527218,7546752,15114391,22842802
373,33.33,100.00,445799,667101,929852,1286432,1906446,2825802,4568879,7663236,15533539,23182172
374,33.33,100.00,446674,671696,929852,1294973,1910448,2837548,4607424,7750236,15644784,23531778
375,33.33,100.00,451101,681758,943996,1317465,1919850,2897772,4727063,7901616,15872124,24295088
376,33.33,100.00,457756,683806,945958,1316195,1943074,2913229,4702640,7907336,15895222,24390026
377,33.33,100.00,456226,685179,952558,1323853,1937559,2919458,4718894,7941832,16082454,24485708
378,33.33,100.00,456531,685179,947271,1330302,1955598,2928852,4768336,7947611,16129953,24777316
379,33.33,100.00,456837,685179,959251,1329007,1955598,2938307,4747610,8000000,16237859,24819542
380,33.33,100.00,455617,691425,955224,1336815,1959809,2941472,4793446,8011736,16249938,24847772
381,33.33,100.00,458063,687248,955893,1344714,1966867,2941472,4797658,8017617,16213756,24890240
382,33.33,100.00,460846,695652,965355,1346040,1984016,2963820,4840178,8131018,16384000,25337716
383,33.33,100.00,463348,693532,967407,1350033,1985458,2986511,4883458,8173610,16582996,25249856
